,source,edge,target
4299,feed forward nn,type,supervised learning
4300,feed forward nn,is_part_of,non linear regression
4301,fragmented,type,system orientation
4302,gateway mediated edge connectivity and management,type,data processing
4303,generative adversarial network,type,neural networks
4304,generative adversarial network,is_part_of,image generation
4305,gradientboost,type,ensemble
4306,gradientboost,is_part_of,classification multilabel boost
4307,graph adversarial method,type,neural networks
4308,graph adversarial method,is_part_of,data augmentation
4309,graph autoencoder,type,neural networks
4310,graph autoencoder,is_part_of,embeddings
4311,graph convolutional nn,type,neural networks
4312,graph convolutional nn,is_part_of,embeddings
4313,graph recurrent nn,type,neural networks
4314,graph recurrent nn,is_part_of,embeddings
4315,graph reinforcement learning,type,deep reinforcement learning
4316,graph reinforcement learning,is_part_of,embeddings
4317,healthcare,type,business domain
4318,identity provider,type,roles
4319,image generation,type,task definition
4320,jaro winkler,type,machine learning
4321,jaro winkler,is_part_of,similarity
4322,k-means,type,unsupervised learning
4323,k-means,is_part_of,clustering linear
4324,k nearest neighbors,type,machine learning
4325,k nearest neighbors,is_part_of,similarity
4326,layered databus,type,databus
4327,learning graph embeddings,type,task definition
4328,levenshtein,type,machine learning
4329,levenshtein,is_part_of,similarity
4330,linear discriminant analysis,type,machine learning
4331,linear discriminant analysis,is_part_of,dimensionality reduction
4332,linear regression,type,task definition
4333,logistic regression,type,task definition
4334,long short term memory,type,supervised learning
4335,long short term memory,is_part_of,sequence operations over time
4336,machine translation,type,task definition
4337,markov model,type,statistical learning
4338,markov model,is_part_of,sequence operations over time
4339,mobility,type,business domain
4340,model-based planning,type,task definition
4341,monte carlo,type,statistical learning
4342,monte carlo,is_part_of,sequence operations over time
4343,naive bayesian,type,machine learning
4344,naive bayesian,is_part_of,classification multiclass
4345,neural network architecture design,type,task definition
4346,non linear regression,type,task definition
4347,nonlinear dimensionality reduction,type,task definition
4348,object detection,type,task definition
4349,policy search,type,task definition
4350,principal component analysis,type,machine learning
4351,principal component analysis,is_part_of,dimensionality reduction
4352,pub sub,type,data pipeline stream
4353,q-learning,type,reinforcement learning
4354,q-learning,is_part_of,exploration
4355,randomforest,type,ensemble
4356,randomforest,is_part_of,classification multilabel bagging
4357,recurrent nn,type,neural networks
4358,recurrent nn,is_part_of,sequence operations over time
4359,request response,type,data pipeline batch
4360,rotation based method,type,machine learning
4361,rotation based method,is_part_of,embeddings
4362,sarsa,type,reinforcement learning
4363,sarsa,is_part_of,exploration
4364,segmentations,type,task definition
4365,semantic annotation,type,data enhancement
4366,sequence operations over time,type,task definition
4367,sequential decision making,type,task definition
4368,similarity,type,task definition
4369,singular value decomposition,type,machine learning
4370,speech query detection,type,task definition
4371,support vector machine,type,machine learning
4372,support vector machine,is_part_of,classification binary imbalanced
4373,text representation extraction,type,task definition
4374,three tier,type,decentral data storage
4375,transcription,type,task definition
4376,translation,type,task definition
4377,translational method,type,machine learning
4378,translational method,is_part_of,embeddings
4379,visual scene understanding,type,task definition
4380,visualization,type,task definition
4381,walked based method,type,machine learning
4382,walked based method,is_part_of,embeddings
4383,3d meshes,type,task definition
4384,runson,type,functionalproperty
4385,runson,range,engineering storage and computing
4386,api,domain,application
4387,api,range,string
4388,access,domain,data availability
4389,access,range,string
4390,accessibility,domain,collection
4391,accessibility,range,string
4392,accuracy,domain,regression metrics
4393,accuracy,range,float
4394,advantages,range,string
4395,approach,domain,model
4396,batch size,domain,training
4397,batch size,range,integer
4398,channel connectivity pattern between layers,domain,neural networks
4399,channel connectivity pattern between layers,range,string
4400,communication protocol,range,string
4401,completeness,domain,collection
4402,completeness,range,string
4403,complexity level,domain,problem statement
4404,complexity level,range,string
4405,consistency,domain,collection
4406,consistency,range,string
4407,constraints,domain,activity
4408,constraints,range,string
4409,consumer,domain,service
4410,consumer,range,string
4411,data organization,domain,governance
4412,data organization,range,string
4413,degree,range,string
4414,description,range,string
4415,determinism,domain,solution scenarios
4416,determinism,range,string
4417,dimensionality,domain,collection
4418,dimensionality,range,string
4419,disadvantages,range,string
4420,effect,domain,activity
4421,effect,range,string
4422,environment,domain,setup
4423,environment,range,string
4424,epochs,domain,training
4425,epochs,range,integer
4426,error rate,domain,clustering metrics
4427,error rate,range,integer
4428,f1 score,domain,classification metrics
4429,f1 score,range,float
4430,features,range,string
4431,filter size per layer,domain,neural networks
4432,filter size per layer,range,integer
4433,format,range,string
4434,frequency,domain,collection
4435,frequency,range,string
4436,goal,domain,setup
4437,goal,range,string
4438,instance provider,domain,service
4439,instance provider,range,string
4440,istrue,range,boolean
4441,labels,domain,training
4442,labels,range,string
4443,language,domain,setup
4444,language,range,string
4445,latency,domain,performance
4446,latency,range,integer
4447,learning rate,domain,training
4448,learning rate,range,integer
4449,learning technique,range,string
4450,library,domain,setup
4451,library,range,string
4452,logics,domain,application
4453,logics,range,string
4454,mean absolute error,domain,regression metrics
4455,mean absolute error,range,float
4456,mean squared error,domain,regression metrics
4457,mean squared error,range,float
4458,model visual,range,long
4459,modeling technique,domain,setup
4460,name,range,string
4461,node,domain,service
4462,node,range,string
4463,node provider,domain,service
4464,node provider,range,string
4465,number of channels per layer,domain,neural networks
4466,number of channels per layer,range,integer
4467,number of convolutional layers,domain,neural networks
4468,number of convolutional layers,range,integer
4469,number of layers,domain,neural networks
4470,number of layers,range,integer
4471,number of neurons per layer,domain,neural networks
4472,number of neurons per layer,range,integer
4473,number of pooling layers,domain,neural networks
4474,number of pooling layers,range,integer
4475,ordering of pooling,domain,neural networks
4476,ordering of pooling,range,string
4477,output type,domain,deployment
4478,output type,range,string
4479,precision,domain,classification metrics
4480,precision,range,float
4481,price,domain,product
4482,price,range,decimal
4483,provider,domain,service
4484,provider,range,string
4485,quantity,domain,data
4486,quantity,range,string
4487,r2 score,domain,regression metrics
4488,r2 score,range,float
4489,recall,domain,classification metrics
4490,recall,range,float
4491,root mean squared error,domain,regression metrics
4492,root mean squared error,range,float
4493,rules,domain,application
4494,rules,range,string
4495,size of pooling regions,domain,neural networks
4496,size of pooling regions,range,integer
4497,stride per layer,domain,neural networks
4498,stride per layer,range,integer
4499,structure,range,string
4500,task,domain,setup
4501,task,range,string
4502,time dependency,domain,interaction
4503,time dependency,range,integer
4504,tool,domain,processing
4505,tool,range,string
4506,triggers,domain,activity
